,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,monthly_revenue
6300,1006019824410138992,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,,317944924,Alan,within an hour,100%,100%,f,1,1,,Sunset,49.21421,-123.10526,Entire home,Entire home/apt,2,,,1.0,[],$82.00,30,90,30.0,90.0,12,42,72,191,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1.0,3334
4819,850715436660748137,Guest suite in Vancouver · 2 bedrooms · 2 beds · 1 private bath,,349804247,El,within an hour,99%,100%,f,66,72,,Dunbar Southlands,49.25455,-123.17854,Private room in guest suite,Private room,4,,,2.0,[],$112.00,30,180,30.0,1125.0,20,50,80,100,2,2,4.0,4.0,4.5,5.0,4.0,5.0,4.0,t,43,0.3,434
144,2454353,Home in Vancouver · ★4.97 · 1 bedroom · 2 beds · 1 bath,"The Fraser Street precinct is following on from Main Street with the introduction of several great restaurants, coffee shops and bars.",10997524,Mark & Fran,within a few hours,100%,89%,f,1,1,"Vancouver, British Columbia, Canada",Kensington-Cedar Cottage,49.23748,-123.08735,Entire home,Entire home/apt,3,,,2.0,[],$160.00,3,190,3.0,190.0,8,31,33,163,183,3,4.97,4.96,4.98,4.98,4.99,4.81,4.9,f,1,1.55,3665
380,7788230,Home in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,Very nice central and convenient place to stay in Vancouver. Huge park with lots of nice grass 2 blocks away. Luxurious Vancouver west side house newly finished just August 2013.,40984901,Holly,within a few hours,100%,100%,t,6,7,"Vancouver, British Columbia, Canada",Marpole,49.21311,-123.11348,Private room in home,Private room,1,,,1.0,[],$42.00,31,1125,31.0,1125.0,18,18,18,151,57,4,4.67,4.71,4.8,4.9,4.8,4.81,4.65,f,6,0.58,3531
1340,27030333,Townhouse in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 private bath,"One of the nicest and quietest neighborhoods in central Vancouver. Within 7 minutes of high-speed public transit (skytrain and buses) which will take you downtown, to UBC, Kitsilano, Stanley Park, Waterfront, North Vancouver, Gastown, or Olympic Village. Mobi bike stations located within 3 minutes walking distance.",96995923,Nicole,,,,f,1,1,"Vancouver, British Columbia, Canada",Mount Pleasant,49.2578,-123.10993,Private room in townhouse,Private room,2,,,1.0,[],,3,14,3.0,14.0,0,0,0,0,27,0,4.89,4.96,5.0,4.96,4.93,4.93,4.63,f,1,0.41,2007
5990,974743913309672707,Condo in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,,535863192,Iman,within an hour,100%,100%,f,1,1,,West End,49.28618566036925,-123.12433992808762,Entire condo,Entire home/apt,4,,,2.0,[],$159.00,2,30,2.0,30.0,4,24,42,42,4,4,5.0,4.75,5.0,4.75,4.75,4.75,4.75,f,1,3.64,2658
4128,740101721986585017,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,,484051894,Wenjun,within an hour,83%,100%,f,10,13,,Mount Pleasant,49.25868,-123.11148,Private room in home,Private room,2,,,1.0,[],$63.00,30,365,30.0,365.0,30,60,90,365,1,0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,t,10,0.07,495
121,1932171,Home in Vancouver · ★4.64 · 1 bedroom · 1 bed · 1 bath,"We are a block from Commercial Drive - a wonderful neighbourhood with great restaurants, coffee shops, brew pubs, and intermittent festivals.  We can tell you our favourite places to eat and drink. Just wandering up and down the Drive is part of the Vancouver experience.  <br /><br />On weekends there is a market at Trout Lake, a park 6 blocks from our house. Great food and crafts are available every week there.  If you want to earn your treats, the Trout Lake Community Centre has a great fitness facility that looks out over the park.<br /><br />When you want to explore further the downtown is easy to access by transit,car,bike, or even walking.",5026894,Lois,,,,f,1,1,"Vancouver, British Columbia, Canada",Grandview-Woodland,49.26861,-123.06666,Entire home,Entire home/apt,2,,,1.0,[],,31,1125,31.0,1125.0,0,0,0,0,11,0,4.64,4.91,4.27,5.0,5.0,4.91,4.73,f,1,0.12,1326
1411,28207765,Rental unit in Vancouver · ★4.83 · 1 bedroom · 1 bed · 1 bath,"Visitors and Locals know, that Kitsilano is one of Vancouver's most desirable areas, with an array of amenities and outdoor activities, all in one place and minutes from downtown. In addition to the many tourist attractions, visitors to Vancouver will experience North Americans finest cuisine especially the ""best"" Chinese and Sushi restaurants in the world.",7704707,Charles,within an hour,100%,95%,t,3,3,"Vancouver, British Columbia, Canada",Kitsilano,49.27034,-123.15893,Entire rental unit,Entire home/apt,2,,,1.0,[],$95.00,30,90,30.0,1125.0,0,17,32,107,24,6,4.83,4.92,4.75,4.92,5.0,4.96,4.83,f,3,0.4,182
418,8616836,Condo in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,"Our neighbourhood is very walkable and full of wonderful coffee bars, French bakeries, restaurants for any taste, local shops, yoga studios and of course the essentials such as groceries, pharmacy, liquor store etc.  If you want to do your own cooking, there are several small markets offering high quality, unique and local ingredients, or try the Riley Park/Nat Bailey farmers market on Saturdays year-round.  If you want to browse and do some shopping, the stretch of Main Street between E 33rd Ave and E 7th Ave is best.  In the guidebook, I have highlighted many of our favourite spots in the neighbourhood, but there is always more to discover on your own.",29308677,Allison & Steve,,,,f,1,1,"Vancouver, British Columbia, Canada",Riley Park,49.24796,-123.09164,Entire condo,Entire home/apt,2,,,1.0,[],,6,365,6.0,365.0,0,0,0,0,5,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0.05,1212
6143,989080912251033247,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,,160999535,Doug,within a few hours,100%,100%,f,5,8,,Downtown,49.28045640332324,-123.12635905503264,Entire rental unit,Entire home/apt,2,,,1.0,[],$130.00,30,365,30.0,365.0,30,60,90,208,0,0,,,,,,,,f,4,,682
5266,905389891758331327,Rental unit in Vancouver · ★4.96 · 1 bedroom · 1 bed · 1 bath,"Situated in the heart of the city, this prime location offers a multitude of attractions and amenities within easy reach. Explore the bustling streets filled with renowned restaurants, trendy shops. Enjoy a leisurely stroll to nearby parks and green spaces, perfect for soaking in the natural beauty of the city. With convenient access to public transportation, you can effortlessly venture out to explore other neighborhoods and attractions that Vancouver has to offer.",517888353,Anna,within an hour,100%,100%,t,1,2,"Vancouver, British Columbia, Canada",West End,49.28198107855597,-123.1262817981551,Entire rental unit,Entire home/apt,3,,,1.0,[],$126.00,1,365,4.8,365.0,0,0,0,0,24,24,4.96,5.0,5.0,4.8,5.0,4.8,4.68,t,1,3.83,1856
5164,894127654035639952,Rental unit in Vancouver · 1 bedroom · 2 beds · 1 bath,,474433103,Fernando,within an hour,100%,46%,f,8,8,,Downtown,49.276957866593015,-123.12941082239628,Entire rental unit,Entire home/apt,3,,,2.0,[],$125.00,30,365,30.0,365.0,24,54,84,359,2,2,2.5,2.0,3.5,3.0,3.5,3.0,2.5,f,8,0.56,0
3121,53628096,Home in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 2 baths,,332778015,Linda,within an hour,100%,88%,t,3,4,,Renfrew-Collingwood,49.2502,-123.04452,Entire home,Entire home/apt,4,,,2.0,[],$155.00,30,90,30.0,1125.0,10,40,70,159,15,6,4.8,4.8,4.8,4.93,5.0,4.87,4.67,t,2,0.63,2705
4635,821331390697700532,Home in Vancouver · ★4.79 · 3 bedrooms · 3 beds · 1 bath,"Nearby parks, shopping, restaurants, transportation.",223589096,Golshan,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Kitsilano,49.25777593973691,-123.17098531248698,Entire home,Entire home/apt,6,,,3.0,[],$399.00,2,365,2.0,365.0,0,1,18,18,28,28,4.79,4.82,4.82,4.96,4.89,4.89,4.68,f,1,2.83,501
555,13396760,Home in Vancouver · ★4.90 · 3 bedrooms · 3 beds · 2 baths,"We are next Main Street: excellent transit to downtown/airport, sushi on every block, fish and chips, pubs, Thai, Caribbean, vegetarian, Chinese. We have the best cafes two blocks away, a Jewish bakery, groceries, markets, Community Centre with pool, gym, library, Farmer's Market...all within 6 blocks of our house.",65268234,Sherry,within a few hours,100%,89%,t,1,3,"Vancouver, British Columbia, Canada",Riley Park,49.2505,-123.10522,Entire home,Entire home/apt,10,,,3.0,[],$549.00,2,1125,2.4,1125.0,4,4,4,4,20,19,4.9,4.85,4.85,5.0,4.95,4.95,4.8,f,1,0.37,5867
4507,798862783922047458,Rental unit in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,"Neighbourhood offers bars, restaurants, cafes, coffee, cinemas, grocery store.<br /><br />This area of town is home to many of Vancouver's east side residents. Due to Vancouver being Canadas' most moderately temperate city and Chinatown's harm reduction zones a lot of people are seen homeless on the streets. These people may be using drugs openly or just down on their luck.<br />The neighborhood is not a threat to your personal safety, it is not a violent neighborhood.",494738615,Kym,within an hour,100%,98%,f,1,4,"Vancouver, British Columbia, Canada",Downtown Eastside,49.28196409000889,-123.10997388954728,Entire rental unit,Entire home/apt,4,,,1.0,[],$115.00,1,365,6.7,365.0,0,0,0,0,54,54,4.76,4.78,4.87,4.8,4.85,3.89,4.49,f,1,4.91,2379
6581,1030649683544847080,Home in Vancouver · ★New · 2 bedrooms · 1 bed · 1 bath,"Excellent! Beaches (including a leash free pet friendly beach), restaurants, lounges, bars, museums, nature, city, coffee shops, swimming pool (seasonal and infamous), sea walk, markets (including Granville Island), and loads more!",231227756,Tamara,within an hour,100%,100%,f,2,3,"Vancouver, British Columbia, Canada",Kitsilano,49.27513299343349,-123.15077948874848,Entire home,Entire home/apt,4,,,1.0,[],,3,30,3.0,30.0,20,50,80,247,0,0,,,,,,,,f,1,,3517
2447,45349112,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,"Coal Harbour’s coveted waterfront location combines the peace and tranquility of a community neighbourhood with proximity to the city core. This rare enclave provides direct access to the city core, the seawall, Stanley Park, and the West End — An unmatched address that connects nature and culture at the water’s edge.<br /><br />Nearby parks include Stanley Park, Cardero Park, Marina Square and Barclay Heritage Square. Nearby grocery stores: Whole Foods Market, 2000 Grocery and Convenience, Konbiniya ad Urban Fare.",36355554,Annie,a few days or more,38%,50%,f,1,2,"Vancouver, British Columbia, Canada",Downtown,49.29115,-123.13079,Entire condo,Entire home/apt,2,,,1.0,[],$99.00,30,1125,30.0,1125.0,8,9,9,142,2,0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,f,1,0.07,3489
4763,840767832952713958,Home in Vancouver · ★4.96 · 2 bedrooms · 2 beds · 1 bath,,504055314,Young,within an hour,100%,99%,t,1,1,,Dunbar Southlands,49.25443847143546,-123.19192726466896,Entire home,Entire home/apt,3,,,2.0,[],$108.00,2,30,2.0,1125.0,0,0,0,0,56,56,4.96,4.96,4.96,4.98,4.98,4.89,4.84,f,1,8.28,2730
1272,25943082,Guest suite in Vancouver · ★4.87 · 1 bedroom · 1 bed · 1 private bath,,194966518,Benjamin,within an hour,100%,98%,t,3,3,,Renfrew-Collingwood,49.23473,-123.03126,Private room in guest suite,Private room,2,,,1.0,[],$56.00,4,300,4.0,1125.0,0,19,39,283,183,34,4.87,4.91,4.92,4.96,4.93,4.91,4.89,f,2,2.73,2360
6683,1043146352842713915,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1.5 baths,,433197863,Elaine,,,100%,f,4,7,,Dunbar Southlands,49.241895491642566,-123.1915684057864,Private room in home,Private room,2,,,1.0,[],$98.00,1,365,1.0,365.0,17,47,77,257,0,0,,,,,,,,t,4,,1764
5845,963150737047011259,Home in Vancouver · 1 bedroom · 1 bed · 1 shared bath,,333164630,Emily,within an hour,100%,96%,f,23,48,,Oakridge,49.22423,-123.12314,Private room in home,Private room,2,,,1.0,[],$71.00,1,365,1.0,365.0,26,56,86,169,2,2,5.0,4.5,5.0,5.0,5.0,5.0,5.0,t,11,0.6,626
6105,984122466402646460,Home in Vancouver · 2 bedrooms · 2 beds · 1 bath,"The private suite sits in a very quiet and central Kitsilano neighborhood, one of the city’s most convenient and popular area. Steps from Broadway and 4th Ave. shops. Plenty of eateries and coffee shops within 5 minutes walk, a short bike to Kits Beach and Spanish Banks. Bike lane on 10th Ave. connects you to the cycling web of Vancouver. Bus routes within a block with services to UBC and downtown. Free on-street parking.",390998306,Ruoxi,within an hour,100%,,f,2,4,"Vancouver, British Columbia, Canada",Kitsilano,49.2632,-123.17948,Entire home,Entire home/apt,4,,,2.0,[],$143.00,30,180,30.0,180.0,30,60,90,179,0,0,,,,,,,,f,1,,725
3392,608053030891574372,Guest suite in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1 bath,,4611299,Lianne And Joshua,,,92%,f,1,1,,Kitsilano,49.25772,-123.1667,Entire guest suite,Entire home/apt,4,,,2.0,[],,5,365,5.0,1125.0,0,0,0,0,12,7,4.83,5.0,4.92,5.0,5.0,5.0,4.42,f,1,0.88,2494
5223,900013691628984859,Home in Vancouver · 1 bedroom · 1 bed · 1 shared bath,,490857414,Renee,within an hour,90%,94%,f,6,16,,Mount Pleasant,49.26032593239858,-123.07983881967031,Private room in home,Private room,2,,,1.0,[],$39.00,9,365,9.0,1125.0,30,60,90,270,1,1,3.0,4.0,3.0,4.0,5.0,4.0,3.0,t,6,0.32,330
5703,948023216904566741,Home in Vancouver · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,"It's a very safe residential area, 5-minute walk to 29 skytrain Station.<br /><br />It takes 20minutes to for the skytrain to go to downtown. <br /><br />There is a park nearby with tennis court.",502042177,Thanh,within an hour,100%,100%,f,1,1,"Vancouver, British Columbia, Canada",Renfrew-Collingwood,49.23756019893788,-123.0583069270842,Entire home,Entire home/apt,6,,,4.0,[],$219.00,2,365,2.0,1125.0,14,40,67,67,10,10,5.0,4.9,5.0,5.0,5.0,5.0,5.0,t,1,3.13,4360
2083,39258825,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"The neighbourhood is close to everything you may need.  You can rent bicycles and ride around Stanley Park or go visit English Bay.  Shopping is just a few blocks away as well as every possible kind of food you want.  Bistros, fine dining, bars, or hot dog stands.<br />If you're here on business, the convention center is a 15 minute walk.<br />If you're a nature lover, then simply cross the bridge to North Vancouver and go exploring on the mountains.  You can also take the Sea Bus to the North Shore and visit the famous Lonsdale Quay.<br />There is just too much to list but I'll be happy to tell you all about it.",301400708,Eugene,,,,f,1,1,"Vancouver, British Columbia, Canada",West End,49.28866,-123.12936,Private room in condo,Private room,2,,,1.0,[],$145.00,90,1125,90.0,1125.0,28,58,88,362,10,0,5.0,4.9,4.9,5.0,5.0,5.0,4.9,f,1,0.2,3558
2399,44210108,Guest suite in Vancouver · ★4.77 · 2 bedrooms · 2 beds · 1 bath,"The place is located in one of the most popular, and safe neighbourhood near 38th and Oak called Shaughnessy.<br />Easy access by bus or cars. Free street parking. Few minutes by walk to  Oakridge mall centre and Skytrain station ( direct from and to the Airport- Direct from and to Downtown).",5335111,Eric,,,,f,28,49,"Vancouver, British Columbia, Canada",South Cambie,49.23680115,-123.1269989,Entire guest suite,Entire home/apt,4,,,2.0,[],$109.00,2,1125,7.3,1125.0,0,0,0,0,96,47,4.77,4.78,4.86,4.85,4.84,4.73,4.61,f,16,2.32,1716
3227,548791024234882915,Condo in Vancouver · ★4.92 · 2 bedrooms · 2 beds · 1 bath,,442303685,Monica,within an hour,100%,100%,t,1,1,,Riley Park,49.25316,-123.09006,Entire condo,Entire home/apt,4,,,2.0,[],$125.00,3,90,3.0,90.0,5,13,31,226,119,68,4.92,4.94,4.96,5.0,4.98,4.92,4.94,f,1,5.35,0
3956,706064048696373018,Home in Vancouver · ★4.91 · 3 bedrooms · 4 beds · 2 baths,Beautiful tree lined quiet neighborhood in Vancouver.,471505574,Michael,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.2724,-123.05296,Entire home,Entire home/apt,8,,,4.0,[],$204.00,2,365,2.0,1125.0,11,34,64,243,32,30,4.91,4.91,4.97,4.94,4.97,4.88,4.81,t,1,2.3,2814
2570,47274563,Rental unit in Vancouver · Studio · 2 beds · 1 bath,,61458943,Mike,within an hour,100%,0%,f,1,1,,West End,49.2847,-123.13447,Entire rental unit,Entire home/apt,2,,,2.0,[],$400.00,2,1125,2.0,1125.0,28,58,88,360,0,0,,,,,,,,f,1,,1946
1879,36002071,Rental unit in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,"A dynamic district bordering on Gastown, Yaletown and Strathcona, Tinseltown is home to many tourist attractions and unique eateries.<br />Housing in this area mainly consists of high-rise condos and is situated within walking distance from the Rogers Arena, BC Place Stadium and Plaza of Nations. Stroll through Tinseltown to see historical sites such as Dr. Sun Yat-Sen Classical Chinese Garden, The China Gate at the Chinese Cultural Center, or grab a soccer ball and play a recreational game at Andy Livingstone Park. International Village Shopping Centre is also located within the heart of this area, which includes art galleries, retailers, and a movie theatre.",177934008,Luis,within an hour,100%,100%,t,3,3,"Vancouver, British Columbia, Canada",Downtown,49.27929,-123.11049,Entire rental unit,Entire home/apt,4,,,2.0,[],$130.00,90,1125,90.0,1125.0,11,26,26,192,10,5,5.0,4.9,4.9,5.0,5.0,5.0,4.8,t,3,0.22,1263
3764,675533357370140360,Condo in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1 bath,"Centrally located condo is steps away from Granville Street (Vancouver’s Entertainment District), Robson Street, Holt Renfrew, Nordstrom and many luxury stores. Closely connected to waterfront & granville sky-train stations, Seabus to North Vancouver, many restaurants, unique bars, and much more!",470662609,Daman,within an hour,100%,99%,t,6,6,"Vancouver, British Columbia, Canada",Downtown,49.2792118,-123.1214803,Entire condo,Entire home/apt,2,,,1.0,[],$159.00,2,1125,2.0,1125.0,13,43,73,348,78,56,4.85,4.88,4.96,4.85,5.0,4.88,4.72,f,2,4.67,116
4025,719678391758638615,Condo in Vancouver · ★4.63 · 2 bedrooms · 3 beds · 2 baths,,479580866,Karla,within an hour,100%,100%,f,1,2,,Downtown,49.2785,-123.10635,Entire condo,Entire home/apt,6,,,3.0,[],,2,180,2.4,180.0,0,0,0,0,38,26,4.63,4.82,4.66,4.71,4.92,4.63,4.63,t,1,2.65,1631
4920,865196933836802368,Home in Vancouver · ★4.58 · 2 bedrooms · 2 beds · 2 baths,,509135789,Maggie,,,93%,f,1,1,,West Point Grey,49.26059,-123.20785,Entire home,Entire home/apt,4,,,2.0,[],$198.00,1,1125,1.0,1125.0,0,0,0,0,19,19,4.58,4.63,4.89,4.89,4.95,4.89,4.37,f,1,2.5,1964
2910,51694092,Guest suite in Vancouver · ★4.83 · 1 bedroom · 1 bed · 1 bath,"Hastings Sunrise is one of Vancouver’s most desirable neighbourhoods with lots of parks and cycling routes. <br /><br />It features locally owned restaurants, cafes, bakeries, grocery stores, and breweries.<br /><br />Take a walk through New Brighton Park and enjoy the beautiful views of the Burrard Inlet and the North Shore Mountains. <br /><br />Hastings Sunrise has year round community events like the Fair at the PNE, Playland, Chinese New Year Celebrations and the Sunrise Summer Kickoff.  Horse racing also takes place at the nearby Hastings Racecourse.<br /><br />Hastings Sunrise is a diverse community centrally located to downtown, Burnaby and the North Shore.",418800455,Maria,,,,f,1,1,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.28981,-123.04691,Entire guest suite,Entire home/apt,2,,,1.0,[],$135.00,5,28,5.0,1125.0,0,0,0,0,24,0,4.83,4.92,5.0,5.0,4.88,4.54,4.83,t,1,0.85,3949
5889,966806795988332154,Rental unit in Vancouver · ★4.67 · 2 bedrooms · 2 beds · 2 baths,,151123195,Julia,within an hour,94%,96%,f,6,7,,Downtown,49.27854769560465,-123.10850388669104,Entire rental unit,Entire home/apt,4,,,2.0,[],$162.00,3,60,3.0,1125.0,30,60,78,78,9,9,4.67,4.78,4.67,4.89,4.78,4.78,4.78,f,5,2.67,2172
